date,hostname,os,uptime_hours,adobe_runtime_minutes,cpu_usage_percent,memory_usage_percent,disk_free_gb,health_status,ticket_opened
2025-10-04,WS-003,Windows 10,21.46,143.2,73.7,76.3,56.6,Healthy,False
2025-10-05,WS-003,Windows 10,21.11,252.3,27.1,70.4,253.4,Healthy,False
2025-10-06,WS-003,Windows 10,20.6,179.5,13.6,90.4,175.3,Warning,False
2025-10-07,WS-003,Windows 10,23.61,216.8,65.4,46.3,216.3,Healthy,False
2025-10-08,WS-003,Windows 10,23.12,232.4,62.3,45.5,146.9,Healthy,False
2025-10-09,WS-003,Windows 10,24.0,57.8,68.6,49.0,199.6,Healthy,False
2025-10-10,WS-003,Windows 10,20.64,177.1,64.1,70.4,239.4,Healthy,False
2025-10-11,WS-003,Windows 10,22.18,93.3,32.3,48.1,236.6,Healthy,False
2025-10-12,WS-003,Windows 10,22.14,239.0,52.1,56.1,382.1,Healthy,False
2025-10-13,WS-003,Windows 10,22.81,154.1,72.9,79.0,345.3,Healthy,False
2025-10-14,WS-003,Windows 10,21.78,238.6,23.2,70.7,187.4,Healthy,False
2025-10-15,WS-003,Windows 10,19.29,242.0,17.8,16.7,229.0,Critical,False
2025-10-16,WS-003,Windows 10,23.48,268.6,55.5,52.4,194.1,Healthy,False
2025-10-17,WS-003,Windows 10,21.44,197.7,28.5,61.8,193.1,Healthy,False
2025-10-18,WS-003,Windows 10,22.55,196.7,8.2,37.0,191.3,Healthy,False
2025-10-19,WS-003,Windows 10,21.89,195.6,49.5,85.3,225.0,Healthy,False
2025-10-20,WS-003,Windows 10,21.37,84.1,24.5,65.7,284.8,Healthy,False
2025-10-21,WS-003,Windows 10,24.0,130.3,40.4,59.8,363.8,Healthy,False
2025-10-22,WS-003,Windows 10,22.23,273.1,47.5,78.1,282.1,Healthy,False
2025-10-23,WS-003,Windows 10,22.33,118.8,41.0,84.8,270.2,Healthy,False
2025-10-24,WS-003,Windows 10,21.13,159.5,19.0,83.9,270.9,Healthy,False
2025-10-25,WS-003,Windows 10,21.73,192.0,12.4,45.3,306.8,Healthy,False
2025-10-26,WS-003,Windows 10,23.96,199.8,44.8,70.9,177.5,Healthy,False
2025-10-27,WS-003,Windows 10,18.67,179.6,51.0,77.5,84.7,Warning,True
2025-10-28,WS-003,Windows 10,19.8,209.3,56.2,49.2,364.4,Warning,False
2025-10-29,WS-003,Windows 10,21.36,131.1,36.6,26.3,184.7,Healthy,False
2025-10-30,WS-003,Windows 10,22.11,43.0,43.5,55.8,241.2,Healthy,False
2025-10-31,WS-003,Windows 10,24.0,231.1,35.7,40.3,246.4,Healthy,False
2025-11-01,WS-003,Windows 10,20.91,106.3,80.6,48.8,149.9,Healthy,False
2025-11-02,WS-003,Windows 10,17.62,231.1,30.2,55.6,277.5,Warning,False
2025-10-04,WS-004,Windows 10,18.79,192.2,33.7,26.6,148.3,Warning,False
2025-10-05,WS-004,Windows 10,19.84,281.2,58.2,54.8,318.4,Warning,False
2025-10-06,WS-004,Windows 10,24.0,212.3,29.4,51.2,130.0,Healthy,False
2025-10-07,WS-004,Windows 10,19.23,235.6,73.6,27.0,245.0,Warning,False
2025-10-08,WS-004,Windows 10,20.7,150.8,36.1,37.7,203.9,Healthy,False
2025-10-09,WS-004,Windows 10,20.34,196.2,44.2,50.2,127.4,Healthy,False
2025-10-10,WS-004,Windows 10,20.85,225.3,52.5,35.4,207.9,Healthy,False
2025-10-11,WS-004,Windows 10,23.5,79.8,53.2,41.7,245.6,Healthy,False
2025-10-12,WS-004,Windows 10,20.47,71.7,20.6,56.0,220.8,Healthy,False
2025-10-13,WS-004,Windows 10,20.19,218.3,20.1,53.7,103.1,Healthy,False
2025-10-14,WS-004,Windows 10,20.7,182.8,32.1,47.3,280.5,Healthy,False
2025-10-15,WS-004,Windows 10,20.85,230.1,28.1,65.6,315.3,Healthy,False
2025-10-16,WS-004,Windows 10,17.06,132.2,53.7,50.9,229.7,Critical,False
2025-10-17,WS-004,Windows 10,20.79,185.2,42.7,78.4,220.4,Healthy,False
2025-10-18,WS-004,Windows 10,22.68,155.3,37.7,46.3,231.6,Healthy,False
2025-10-19,WS-004,Windows 10,21.16,197.4,76.1,72.4,173.9,Healthy,False
2025-10-20,WS-004,Windows 10,24.0,155.5,14.4,34.8,50.3,Healthy,False
2025-10-21,WS-004,Windows 10,21.3,181.1,70.1,61.5,182.5,Healthy,False
2025-10-22,WS-004,Windows 10,23.66,47.3,48.5,70.4,81.7,Healthy,False
2025-10-23,WS-004,Windows 10,24.0,200.3,38.8,67.7,381.7,Healthy,False
2025-10-24,WS-004,Windows 10,22.36,194.9,38.1,38.0,266.4,Healthy,False
2025-10-25,WS-004,Windows 10,20.29,184.3,37.8,64.6,226.7,Healthy,False
2025-10-26,WS-004,Windows 10,24.0,149.4,41.0,35.4,164.5,Healthy,False
2025-10-27,WS-004,Windows 10,22.75,225.4,31.2,72.4,308.5,Healthy,False
2025-10-28,WS-004,Windows 10,22.83,292.6,33.4,30.1,57.7,Healthy,False
2025-10-29,WS-004,Windows 10,24.0,219.3,44.2,60.6,110.0,Healthy,False
2025-10-30,WS-004,Windows 10,24.0,187.8,46.6,69.5,238.5,Healthy,False
2025-10-31,WS-004,Windows 10,22.45,132.6,52.1,92.6,307.6,Warning,False
2025-11-01,WS-004,Windows 10,20.02,172.5,45.8,76.9,64.6,Healthy,False
2025-11-02,WS-004,Windows 10,24.0,170.5,38.6,34.8,67.6,Healthy,False
2025-10-04,WS-005,Windows 10,21.54,217.7,64.1,38.6,79.8,Healthy,False
2025-10-05,WS-005,Windows 10,21.48,112.5,42.8,54.9,94.5,Healthy,False
2025-10-06,WS-005,Windows 10,23.61,170.6,61.2,18.1,118.6,Healthy,False
2025-10-07,WS-005,Windows 10,23.03,132.1,42.5,55.0,212.7,Healthy,False
2025-10-08,WS-005,Windows 10,20.64,189.0,33.3,68.5,190.8,Healthy,False
2025-10-09,WS-005,Windows 10,22.31,334.2,28.4,82.8,10.0,Warning,False
2025-10-10,WS-005,Windows 10,19.64,192.2,49.3,49.9,188.0,Warning,False
2025-10-11,WS-005,Windows 10,23.06,158.3,44.0,64.7,138.2,Healthy,False
2025-10-12,WS-005,Windows 10,21.82,181.8,34.4,40.4,207.9,Healthy,False
2025-10-13,WS-005,Windows 10,21.74,210.0,29.2,48.0,181.7,Healthy,False
2025-10-14,WS-005,Windows 10,23.63,123.6,48.5,60.1,331.7,Healthy,False
2025-10-15,WS-005,Windows 10,19.99,140.6,30.9,21.6,341.2,Critical,False
2025-10-16,WS-005,Windows 10,19.52,131.0,64.7,19.9,260.5,Warning,False
2025-10-17,WS-005,Windows 10,19.17,74.8,36.8,74.4,197.5,Critical,False
2025-10-18,WS-005,Windows 10,24.0,220.3,35.7,46.6,96.9,Healthy,False
2025-10-19,WS-005,Windows 10,22.2,82.2,53.3,95.1,257.4,Critical,False
2025-10-20,WS-005,Windows 10,24.0,274.2,29.9,65.2,187.4,Healthy,False
2025-10-21,WS-005,Windows 10,23.61,203.0,9.5,48.0,215.9,Healthy,False
2025-10-22,WS-005,Windows 10,19.13,214.9,22.1,39.0,307.3,Warning,False
2025-10-23,WS-005,Windows 10,20.23,304.9,40.4,56.9,214.3,Healthy,False
2025-10-24,WS-005,Windows 10,23.22,88.8,44.9,41.8,64.8,Healthy,False
2025-10-25,WS-005,Windows 10,23.97,158.9,48.6,58.6,173.2,Healthy,False
2025-10-26,WS-005,Windows 10,24.0,177.2,21.6,47.0,240.0,Healthy,False
2025-10-27,WS-005,Windows 10,23.07,114.7,58.9,19.7,291.5,Healthy,False
2025-10-28,WS-005,Windows 10,19.36,166.4,61.0,57.4,265.3,Warning,False
2025-10-29,WS-005,Windows 10,23.24,152.8,54.5,24.5,195.4,Healthy,False
2025-10-30,WS-005,Windows 10,23.64,188.0,51.7,50.7,290.3,Healthy,False
2025-10-31,WS-005,Windows 10,21.84,152.1,58.3,26.9,240.1,Healthy,False
2025-11-01,WS-005,Windows 10,19.92,256.7,41.1,57.7,233.0,Critical,False
2025-11-02,WS-005,Windows 10,18.14,232.1,49.2,28.0,246.8,Warning,False
2025-10-04,WS-006,Windows 10,22.16,243.9,37.2,83.2,383.9,Healthy,False
2025-10-05,WS-006,Windows 10,21.27,153.3,66.8,86.6,158.2,Healthy,False
2025-10-06,WS-006,Windows 10,21.16,163.1,24.8,36.6,119.7,Healthy,False
2025-10-07,WS-006,Windows 10,20.46,177.9,48.5,86.0,120.1,Healthy,False
2025-10-08,WS-006,Windows 10,23.97,167.2,44.3,68.5,110.2,Healthy,False
2025-10-09,WS-006,Windows 10,22.76,190.0,52.4,60.8,396.4,Healthy,False
2025-10-10,WS-006,Windows 10,20.72,148.1,35.7,43.9,149.0,Healthy,False
2025-10-11,WS-006,Windows 10,24.0,265.2,36.4,38.4,237.7,Healthy,False
2025-10-12,WS-006,Windows 10,20.9,218.0,48.0,24.7,323.8,Healthy,False
2025-10-13,WS-006,Windows 10,24.0,143.2,39.2,60.7,226.8,Healthy,False
2025-10-14,WS-006,Windows 10,23.32,300.6,42.3,39.0,89.7,Healthy,False
2025-10-15,WS-006,Windows 10,20.54,178.0,71.9,44.6,217.9,Healthy,False
2025-10-16,WS-006,Windows 10,21.97,251.3,82.9,44.4,160.8,Healthy,False
2025-10-17,WS-006,Windows 10,24.0,220.9,72.7,66.7,171.3,Healthy,False
2025-10-18,WS-006,Windows 10,23.18,246.5,57.3,65.1,285.3,Healthy,False
2025-10-19,WS-006,Windows 10,24.0,262.9,54.7,51.7,211.7,Healthy,False
2025-10-20,WS-006,Windows 10,24.0,131.0,50.5,47.1,202.3,Healthy,False
2025-10-21,WS-006,Windows 10,24.0,191.5,45.7,27.8,259.7,Healthy,False
2025-10-22,WS-006,Windows 10,23.29,309.8,40.4,59.4,220.0,Healthy,False
2025-10-23,WS-006,Windows 10,24.0,174.3,49.2,67.2,214.9,Healthy,False
2025-10-24,WS-006,Windows 10,21.11,191.6,61.1,34.5,210.6,Healthy,False
2025-10-25,WS-006,Windows 10,20.6,251.7,22.2,43.8,230.2,Healthy,False
2025-10-26,WS-006,Windows 10,24.0,176.1,36.7,92.6,84.2,Warning,False
2025-10-27,WS-006,Windows 10,17.6,118.7,55.6,59.9,154.9,Warning,False
2025-10-28,WS-006,Windows 10,23.3,174.0,72.7,33.6,78.0,Healthy,False
2025-10-29,WS-006,Windows 10,20.62,177.3,48.7,50.2,228.2,Healthy,False
2025-10-30,WS-006,Windows 10,19.5,266.6,43.8,77.3,227.4,Critical,False
2025-10-31,WS-006,Windows 10,22.91,218.6,64.9,58.9,256.7,Healthy,False
2025-11-01,WS-006,Windows 10,21.82,266.4,34.9,91.0,196.8,Warning,False
2025-11-02,WS-006,Windows 10,19.14,230.4,35.2,46.1,48.8,Warning,True
2025-10-04,WS-007,Windows 10,24.0,150.2,60.4,33.1,229.8,Healthy,False
2025-10-05,WS-007,Windows 10,22.96,178.5,36.4,49.7,167.7,Healthy,False
2025-10-06,WS-007,Windows 10,24.0,178.6,52.9,90.6,129.9,Warning,True
2025-10-07,WS-007,Windows 10,22.08,169.3,34.0,58.9,115.0,Healthy,False
2025-10-08,WS-007,Windows 10,23.98,217.4,37.6,46.1,222.0,Healthy,False
2025-10-09,WS-007,Windows 10,20.4,288.7,50.4,62.9,254.5,Healthy,False
2025-10-10,WS-007,Windows 10,20.84,245.3,46.7,74.0,184.2,Healthy,False
2025-10-11,WS-007,Windows 10,24.0,204.1,77.7,47.6,216.4,Healthy,False
2025-10-12,WS-007,Windows 10,19.94,148.2,54.3,77.6,437.2,Critical,False
2025-10-13,WS-007,Windows 10,21.81,112.3,53.5,45.0,216.9,Healthy,False
2025-10-14,WS-007,Windows 10,24.0,173.4,59.0,72.5,50.9,Healthy,False
2025-10-15,WS-007,Windows 10,20.2,86.3,75.0,52.9,342.5,Healthy,False
2025-10-16,WS-007,Windows 10,18.73,145.6,57.0,58.6,242.6,Warning,False
2025-10-17,WS-007,Windows 10,19.49,204.1,34.7,61.5,176.7,Warning,False
2025-10-18,WS-007,Windows 10,21.69,243.7,11.5,59.7,107.6,Healthy,False
2025-10-19,WS-007,Windows 10,22.64,202.5,43.7,71.1,100.3,Healthy,False
2025-10-20,WS-007,Windows 10,24.0,137.5,21.7,49.6,32.4,Critical,False
2025-10-21,WS-007,Windows 10,22.51,218.9,24.1,38.2,241.7,Healthy,False
2025-10-22,WS-007,Windows 10,23.69,253.4,63.2,53.2,229.0,Healthy,False
2025-10-23,WS-007,Windows 10,24.0,161.8,50.7,48.5,155.9,Healthy,False
2025-10-24,WS-007,Windows 10,22.1,138.7,43.0,34.3,184.8,Healthy,False
2025-10-25,WS-007,Windows 10,22.9,144.7,45.1,57.8,236.2,Healthy,False
2025-10-26,WS-007,Windows 10,21.73,245.2,13.5,100.0,130.3,Warning,False
2025-10-27,WS-007,Windows 10,22.81,123.7,54.7,60.5,147.9,Healthy,False
2025-10-28,WS-007,Windows 10,24.0,170.2,53.2,36.7,197.5,Healthy,False
2025-10-29,WS-007,Windows 10,24.0,237.8,49.6,46.0,205.4,Healthy,False
2025-10-30,WS-007,Windows 10,22.4,207.0,28.9,68.4,112.8,Healthy,False
2025-10-31,WS-007,Windows 10,24.0,133.7,49.4,75.1,179.8,Healthy,False
2025-11-01,WS-007,Windows 10,22.68,266.1,53.5,62.1,65.2,Healthy,False
2025-11-02,WS-007,Windows 10,20.13,242.8,53.5,69.4,250.8,Healthy,False
2025-10-04,WS-008,Windows 10,21.7,187.5,42.4,55.3,112.3,Healthy,False
2025-10-05,WS-008,Windows 10,19.12,275.7,32.3,35.2,27.7,Warning,False
2025-10-06,WS-008,Windows 10,24.0,240.6,34.7,100.0,278.5,Warning,False
2025-10-07,WS-008,Windows 10,21.35,96.6,20.3,75.5,395.2,Healthy,False
2025-10-08,WS-008,Windows 10,24.0,213.8,53.9,72.1,260.7,Healthy,False
2025-10-09,WS-008,Windows 10,22.56,186.3,44.1,39.9,177.5,Healthy,False
2025-10-10,WS-008,Windows 10,18.61,174.1,30.2,32.9,214.4,Warning,False
2025-10-11,WS-008,Windows 10,24.0,120.6,59.1,35.4,182.0,Healthy,False
2025-10-12,WS-008,Windows 10,23.1,121.9,46.6,28.3,151.9,Healthy,False
2025-10-13,WS-008,Windows 10,22.64,84.4,51.6,54.6,244.2,Healthy,False
2025-10-14,WS-008,Windows 10,22.45,261.8,46.9,46.4,209.8,Healthy,False
2025-10-15,WS-008,Windows 10,23.09,182.9,45.6,41.0,147.0,Healthy,False
2025-10-16,WS-008,Windows 10,19.19,285.0,26.3,41.1,142.5,Critical,False
2025-10-17,WS-008,Windows 10,23.79,139.6,49.2,38.3,371.6,Healthy,False
2025-10-18,WS-008,Windows 10,19.62,198.6,54.5,63.3,185.2,Warning,False
2025-10-19,WS-008,Windows 10,21.74,237.8,78.2,43.9,90.4,Healthy,False
2025-10-20,WS-008,Windows 10,21.82,334.8,32.9,87.8,334.2,Healthy,False
2025-10-21,WS-008,Windows 10,20.89,214.1,69.4,47.4,183.7,Healthy,False
2025-10-22,WS-008,Windows 10,20.84,119.1,35.3,30.5,202.7,Healthy,False
2025-10-23,WS-008,Windows 10,20.46,194.0,21.7,61.6,266.7,Healthy,False
2025-10-24,WS-008,Windows 10,18.01,202.4,63.4,30.8,333.8,Warning,True
2025-10-25,WS-008,Windows 10,22.84,213.5,46.1,65.8,126.3,Healthy,False
2025-10-26,WS-008,Windows 10,22.34,95.2,43.3,36.9,141.2,Healthy,False
2025-10-27,WS-008,Windows 10,24.0,245.5,54.1,33.2,174.7,Healthy,False
2025-10-28,WS-008,Windows 10,24.0,188.5,79.8,62.9,215.4,Healthy,False
2025-10-29,WS-008,Windows 10,21.38,188.0,42.7,69.2,276.5,Healthy,False
2025-10-30,WS-008,Windows 10,20.43,100.1,17.5,65.2,111.7,Healthy,False
2025-10-31,WS-008,Windows 10,17.69,203.3,82.4,54.9,267.1,Critical,False
2025-11-01,WS-008,Windows 10,22.16,174.1,58.8,49.2,221.4,Healthy,False
2025-11-02,WS-008,Windows 10,22.64,139.9,59.9,51.5,139.5,Healthy,False
2025-10-04,WS-009,Windows 10,19.93,258.8,45.8,58.4,182.0,Critical,False
2025-10-05,WS-009,Windows 10,22.4,327.9,40.5,42.0,242.4,Healthy,False
2025-10-06,WS-009,Windows 10,16.95,183.8,39.4,35.2,240.6,Warning,False
2025-10-07,WS-009,Windows 10,22.11,6.7,49.4,60.7,136.5,Healthy,False
2025-10-08,WS-009,Windows 10,23.08,103.1,30.5,63.3,144.9,Healthy,False
2025-10-09,WS-009,Windows 10,21.87,146.2,38.8,47.7,143.5,Healthy,False
2025-10-10,WS-009,Windows 10,22.6,142.3,45.2,40.4,77.3,Healthy,False
2025-10-11,WS-009,Windows 10,23.82,210.0,79.3,34.1,183.3,Healthy,False
2025-10-12,WS-009,Windows 10,21.74,239.4,37.4,31.6,296.6,Healthy,False
2025-10-13,WS-009,Windows 10,21.37,232.7,56.4,54.4,186.1,Healthy,False
2025-10-14,WS-009,Windows 10,21.22,179.1,57.9,39.1,208.7,Healthy,False
2025-10-15,WS-009,Windows 10,19.76,120.4,44.5,15.8,364.8,Critical,True
2025-10-16,WS-009,Windows 10,19.61,177.6,62.5,37.7,15.8,Warning,False
2025-10-17,WS-009,Windows 10,21.11,197.1,48.1,77.8,110.3,Healthy,False
2025-10-18,WS-009,Windows 10,18.8,155.6,43.7,73.4,312.8,Critical,False
2025-10-19,WS-009,Windows 10,24.0,141.6,47.5,31.2,205.0,Healthy,False
2025-10-20,WS-009,Windows 10,22.18,283.3,41.6,56.8,219.0,Healthy,False
2025-10-21,WS-009,Windows 10,21.09,131.9,64.5,35.4,93.8,Healthy,False
2025-10-22,WS-009,Windows 10,23.36,249.5,38.2,46.3,222.6,Healthy,False
2025-10-23,WS-009,Windows 10,20.58,133.1,58.2,67.1,304.9,Healthy,False
2025-10-24,WS-009,Windows 10,19.49,149.9,49.2,36.5,251.3,Warning,True
2025-10-25,WS-009,Windows 10,24.0,267.3,72.0,69.9,247.5,Healthy,False
2025-10-26,WS-009,Windows 10,20.29,201.6,53.4,50.8,152.4,Healthy,False
2025-10-27,WS-009,Windows 10,19.44,75.7,15.8,66.6,211.8,Warning,False
2025-10-28,WS-009,Windows 10,22.42,170.1,24.9,73.3,224.3,Healthy,False
2025-10-29,WS-009,Windows 10,22.53,230.3,32.8,79.3,188.8,Healthy,False
2025-10-30,WS-009,Windows 10,23.78,224.1,29.4,65.1,226.1,Healthy,False
2025-10-31,WS-009,Windows 10,22.06,174.3,43.7,71.3,246.2,Healthy,False
2025-11-01,WS-009,Windows 10,22.06,90.5,52.4,69.5,384.0,Healthy,False
2025-11-02,WS-009,Windows 10,24.0,66.0,46.2,91.2,249.9,Critical,False
2025-10-04,WS-010,Windows 11,21.72,106.5,41.9,38.0,153.6,Healthy,False
2025-10-05,WS-010,Windows 11,23.18,280.2,50.9,31.1,235.6,Healthy,False
2025-10-06,WS-010,Windows 11,24.0,143.4,43.0,55.3,137.2,Healthy,False
2025-10-07,WS-010,Windows 11,23.3,172.7,51.3,37.3,165.0,Healthy,False
2025-10-08,WS-010,Windows 11,23.44,157.6,70.9,47.0,218.0,Healthy,False
2025-10-09,WS-010,Windows 11,23.87,94.9,18.6,24.5,301.0,Healthy,False
2025-10-10,WS-010,Windows 11,20.9,333.5,36.5,58.7,323.4,Healthy,False
2025-10-11,WS-010,Windows 11,24.0,303.7,63.1,75.5,247.4,Healthy,False
2025-10-12,WS-010,Windows 11,23.56,146.9,32.7,54.9,186.4,Healthy,False
2025-10-13,WS-010,Windows 11,21.09,221.8,59.3,56.8,318.2,Healthy,False
2025-10-14,WS-010,Windows 11,19.72,168.4,34.2,17.7,193.4,Warning,False
2025-10-15,WS-010,Windows 11,21.76,118.5,72.8,79.4,246.6,Healthy,False
2025-10-16,WS-010,Windows 11,21.55,122.4,39.4,76.8,350.8,Healthy,False
2025-10-17,WS-010,Windows 11,24.0,150.7,28.2,57.8,58.5,Healthy,False
2025-10-18,WS-010,Windows 11,22.65,171.1,38.0,23.1,241.1,Healthy,False
2025-10-19,WS-010,Windows 11,20.93,109.8,1.9,54.4,341.8,Healthy,False
2025-10-20,WS-010,Windows 11,24.0,152.6,36.0,64.4,120.1,Healthy,False
2025-10-21,WS-010,Windows 11,22.6,226.0,63.4,53.0,183.7,Healthy,False
2025-10-22,WS-010,Windows 11,20.24,130.4,41.6,62.3,273.1,Healthy,False
2025-10-23,WS-010,Windows 11,20.39,269.6,40.9,54.6,140.2,Healthy,False
2025-10-24,WS-010,Windows 11,17.15,233.0,56.1,49.4,205.4,Critical,True
2025-10-25,WS-010,Windows 11,23.03,86.2,37.1,70.9,99.7,Healthy,False
2025-10-26,WS-010,Windows 11,22.59,98.6,52.0,54.3,70.8,Healthy,False
2025-10-27,WS-010,Windows 11,24.0,135.9,32.8,59.0,291.9,Healthy,False
2025-10-28,WS-010,Windows 11,19.97,183.7,51.4,68.9,214.1,Warning,True
2025-10-29,WS-010,Windows 11,21.27,115.7,1.2,63.7,272.3,Healthy,False
2025-10-30,WS-010,Windows 11,17.27,119.4,54.3,96.1,201.7,Critical,False
2025-10-31,WS-010,Windows 11,20.54,141.2,33.0,45.3,123.7,Healthy,False
2025-11-01,WS-010,Windows 11,22.25,277.5,49.8,50.0,176.7,Healthy,False
2025-11-02,WS-010,Windows 11,18.87,233.0,43.8,51.4,455.4,Warning,False
